Rank,Name Country/Region,No. of FTE Students,No. of students per staff,International Students,Female:Male Ratio,Citations,Industry Income,International Outlook,Overall,Research,Teaching
1,University of Oxford,20967,10.6,42%,48 : 52,99.0,74.9,96.2,96.4,99.7,92.3
2,Harvard University,21887,9.6,25%,50 : 50,99.3,49.5,80.5,95.2,99.0,94.8
=3,University of Cambridge,20185,11.3,39%,47 : 53,97.0,54.2,95.8,94.8,99.5,90.9
=3,Stanford University,16164,7.1,24%,46 : 54,99.8,65.0,79.8,94.8,96.7,94.2
5,Massachusetts Institute of Technology,11415,8.2,33%,40 : 60,99.8,90.9,89.3,94.2,93.6,90.7
6,California Institute of Technology,2237,6.2,34%,37 : 63,97.3,89.8,83.6,94.1,97.0,90.9
7,Princeton University,8279,8.0,23%,46 : 54,99.1,66.0,80.3,92.4,95.9,87.6
8,"University of California, Berkeley",40921,18.4,24%,52 : 48,99.0,76.8,78.4,92.1,95.8,86.4
9,Yale University,13482,5.9,21%,52 : 48,97.0,55.0,70.9,91.4,92.7,92.6
10,Imperial College London,18544,11.2,61%,40 : 60,98.3,59.8,97.5,90.4,90.8,82.8
=11,Columbia University,21781,4.5,38%,nan,97.1,44.8,79.9,89.4,87.7,89.4
=11,ETH Zurich,21665,14.8,41%,33 : 67,90.7,59.1,97.7,89.4,95.4,82.6
13,The University of Chicago,15366,6.0,36%,47 : 53,97.7,56.2,74.2,88.9,88.8,86.5
14,University of Pennsylvania,21453,6.3,23%,53 : 47,97.0,75.8,71.5,88.8,88.8,86.0
15,Johns Hopkins University,17584,4.7,29%,53 : 47,97.0,89.5,75.3,88.3,91.5,79.4
16,Tsinghua UniversityChina,38324,11.6,10%,nan,88.0,100.0,40.3,88.2,97.4,90.1
17,Peking UniversityChina,31994,10.3,19%,nan,80.4,91.8,65.0,88.1,96.7,92.5
18,University of Toronto,77468,25.8,26%,56 : 44,92.8,65.5,89.7,87.4,93.3,77.3
19,National University of SingaporeSingapore,32337,19.8,25%,51 : 49,90.2,87.0,94.0,87.1,93.0,76.4
20,Cornell University,24027,10.3,26%,51 : 49,97.3,40.4,76.9,85.9,86.1,80.2
21,"University of California, Los Angeles",42434,9.7,16%,56 : 44,95.4,58.8,65.0,85.8,88.9,80.4
22,UCL,36791,10.4,60%,59 : 41,97.9,44.5,96.7,85.7,85.4,74.5
23,University of Michigan-Ann Arbor,45912,8.2,17%,50 : 50,93.6,48.7,59.2,82.9,84.6,79.3
24,New York University,36337,9.8,42%,57 : 43,95.0,44.6,74.7,82.7,84.0,74.2
25,Duke University,16091,4.2,24%,52 : 48,95.7,99.6,68.0,82.6,76.2,78.1
=26,Northwestern University,19175,13.2,20%,51 : 49,97.5,85.0,67.0,82.1,80.7,71.7
=26,University of Washington,47727,10.8,18%,55 : 45,98.9,53.9,63.0,82.1,82.8,71.6
28,Carnegie Mellon University,14305,12.9,47%,44 : 56,98.7,55.2,80.1,81.1,81.8,65.4
29,University of Edinburgh,32844,11.8,47%,62 : 38,97.1,40.9,95.6,79.8,74.5,66.9
30,Technical University of MunichGermany,33960,40.6,36%,37 : 63,84.5,100.0,77.7,79.3,82.2,69.8
31,University of ,18087,18.2,43%,54 : 46,92.4,60.6,98.7,78.5,74.1,65.6
32,"University of California, San Diego",37030,11.3,28%,48 : 52,98.2,93.0,67.8,78.1,77.2,60.2
33,LMU MunichGermany,35003,34.2,19%,61 : 39,87.4,100.0,70.5,77.7,78.3,67.3
34,University of Melbourne,49588,23.8,47%,58 : 42,85.8,78.1,93.6,77.6,75.9,67.1
35,King’s College London,28967,11.8,52%,63 : 37,98.2,45.6,96.1,77.1,72.9,58.0
36,"Nanyang Technological University, Singapore",24651,15.1,25%,48 : 52,87.2,84.5,94.5,77.0,77.9,60.9
37,London School of Economics and Political Science,11118,11.9,73%,55 : 45,95.1,37.8,92.8,76.5,74.3,59.2
38,Georgia Institute of Technology,28826,24.7,40%,33 : 67,91.4,64.9,81.2,76.0,75.9,60.2
39,The University of Tokyo,26112,10.5,15%,nan,55.5,86.7,43.3,75.9,91.4,88.1
40,University of British Columbia,56452,18.9,34%,55 : 45,88.8,47.9,94.8,75.7,73.1,62.9
41,École Polytechnique Fédérale de Lausanne,11641,12.3,62%,30 : 70,84.5,71.7,98.0,75.4,70.7,65.6
42,KU LeuvenBelgium,47663,36.5,18%,51 : 49,86.7,99.2,76.8,74.6,74.9,59.7
43,Universität Heidelberg,19347,13.5,21%,55 : 45,96.0,55.7,71.2,74.1,61.5,67.2
44,Monash University,58725,42.5,41%,57 : 43,90.4,78.4,91.0,73.6,68.7,56.9
45,Chinese University of Hong Kong,18468,19.0,21%,nan,95.7,60.9,92.5,73.2,61.1,59.1
46,McGill University,32309,12.5,30%,60 : 40,82.5,43.5,91.0,73.0,72.4,62.0
47,Paris Sciences et Lettres – PSL Research University Paris,16218,15.0,22%,51 : 49,75.5,78.8,76.3,72.9,73.5,68.2
48,University of Illinois at Urbana-Champaign,48674,17.4,22%,48 : 52,78.1,50.1,56.2,72.7,78.9,67.1
49,Karolinska Institute,8021,9.9,27%,70 : 30,94.0,66.4,87.3,72.4,68.8,51.1
50,University of Texas at Austin,49171,17.4,10%,53 : 47,87.5,51.3,40.1,72.3,73.1,66.2
51,Fudan University,36318,11.9,9%,52 : 48,74.5,77.3,45.2,72.0,75.8,71.8
52,Shanghai Jiao Tong University,37478,11.5,8%,42 : 58,59.9,100.0,43.7,71.2,82.9,75.3
53,The University of QueenslandAustralia,41372,34.2,41%,55 : 45,84.3,82.0,93.2,71.1,66.5,55.9
=54,University of Manchester,37036,14.2,44%,55 : 45,91.3,45.3,92.7,70.9,63.7,54.5
=54,The University of Sydney,45853,19.0,45%,58 : 42,88.5,73.2,90.6,70.9,65.8,53.1
56,Seoul National UniversitySouth Korea,26209,15.1,10%,nan,67.6,96.6,35.9,70.8,76.2,75.2
57,Washington University in St Louis,14420,7.8,24%,53 : 47,98.2,47.5,64.0,70.6,56.8,60.3
58,The Hong Kong University of Science and Technology,9864,21.0,32%,nan,87.7,95.0,97.7,70.5,63.4,51.4
59,Wageningen University & Research,15404,18.6,27%,55 : 45,93.2,100.0,88.8,70.3,60.2,50.4
60,University of AmsterdamNetherlands,29157,14.5,32%,59 : 41,93.3,44.4,91.9,69.6,64.1,48.0
61,Brown University,10037,10.1,21%,nan,89.5,39.0,63.3,69.3,58.0,64.5
62,Australian National University,16758,14.6,51%,52 : 48,81.8,45.6,96.0,69.0,69.2,51.3
63,"University of California, Davis",37639,13.1,18%,60 : 40,80.9,52.4,68.7,68.5,66.3,59.7
64,"University of California, Santa Barbara",25860,28.5,20%,54 : 46,96.2,80.1,76.0,68.4,61.5,44.6
65,University of Southern California,40549,12.6,22%,49 : 51,90.4,43.8,63.7,68.3,58.6,58.9
66,Utrecht University,32532,17.1,13%,62 : 38,91.2,72.7,78.8,68.2,66.0,44.3
67,Zhejiang UniversityChina,46124,12.0,16%,nan,62.8,100.0,55.1,68.1,74.8,67.3
68,Kyoto University,22269,9.2,12%,25 : 75,52.3,88.6,40.5,68.0,79.1,77.5
69,University of North Carolina at Chapel Hill,31080,7.9,8%,59 : 41,93.3,46.0,41.7,67.8,59.7,58.9
70,Delft University of Technology,20299,16.1,31%,31 : 69,59.1,93.4,94.2,67.7,76.4,58.8
=71,Boston University,27243,10.8,31%,59 : 41,92.9,41.1,65.9,67.5,56.1,55.9
=71,UNSW SydneyAustralia,45133,36.3,40%,47 : 53,85.9,63.5,95.1,67.5,59.0,51.1
